iteration soc penalty solar load
0 0.5 0.5 0 4.332437198131057
1 0.5 0.5 0 4.310578745974942
2 0.5 0.5 0 4.288758866853508
3 0.5 0.5 0 4.266978781586318
4 0.5 0.5 0 4.245239708766475
5 0.5 0.5 0 4.223542864692439
6 0.5 0.5 0 4.201889463299976
7 0.5 0.5 0 4.180280716094241
8 0.5 0.5 0 4.158717832081992
9 0.5 0.5 0 4.137202017703948
10 0.5 0.5 0 4.115734476767287
11 0.5 0.5 0 4.094316410378294
12 0.5 0.5 0 4.0729490168751585
13 0.5 0.5 0 4.051633491760927
14 0.5 0.5 0 4.030371027636621
15 0.5 0.5 0 4.009162814134499
16 0.5 0.5 0 3.9880100378515104
17 0.5 0.5 0 3.966913882282895
18 0.5 0.5 0 3.9458755277559723
19 0.5 0.5 0 3.9248961513641
20 0.5 0.5 0 3.9039769269008158
21 0.5 0.5 0 3.883119024794165
22 0.5 0.5 0 3.8623236120412154
23 0.5 0.5 0 3.841591852142761
24 0.5 0.5 0 3.8209249050382286
25 0.5 0.5 0 3.800323927040777
26 0.5 0.5 0 3.779790070772599
27 0.5 0.5 0 3.7593244851004384
28 0.5 0.5 0 3.7389283150713037
29 0.5 0.5 0 3.7186027018484094
30 0.5 0.5 0 3.698348782647326
31 0.5 0.5 0 3.6781676906723493
32 0.5 0.5 0 3.658060555053102
33 0.5 0.5 0 3.6380285007813598
34 0.5 0.5 0 3.618072648648104
35 0.5 0.5 0 3.5981941151808154
36 0.5 0.5 0 3.578394012581004
37 0.5 0.5 0 3.5586734486619864
38 0.5 0.5 0 3.5390335267868993
39 0.5 0.5 0 3.5194753458069594
40 0.5 0.5 0 3.499999999999999
41 0.5 0.5 0 3.480608579009231
42 0.5 0.5 0 3.4613021677822817
43 0.5 0.5 0 3.4420818465104936
44 0.5 0.5 0 3.422948690568486
45 0.5 0.5 0 3.4039037704539905
46 0.5 0.5 0 3.3849481517279534
47 0.5 0.5 0 3.3660828949549186
48 0.5 0.5 0 3.347309055643693
49 0.5 0.5 0 3.3286276841882834
50 0.5 0.5 0 3.3100398258091346
51 0.5 0.5 0 3.291546520494644
52 0.5 0.5 0 3.2731488029429787
53 0.5 0.5 0 3.2548477025041835
54 0.5 0.5 0 3.236644243122581
55 0.5 0.5 0 3.2185394432794947
56 0.5 0.5 0 3.2005343159362587
57 0.5 0.5 0 3.1826298684775405
58 0.5 0.5 0 3.1648271026549817
59 0.5 0.5 0 3.1471270145311467
60 0.5 0.5 0 3.1295305944237994
61 0.5 0.5 0 3.112038826850488
62 0.5 0.5 0 3.0946526904734637
63 0.5 0.5 0 3.0773731580449275
64 0.5 0.5 0 3.0602011963526015
65 0.5 0.5 0 3.0431377661656374
66 0.5 0.5 0 3.026183822180862
67 0.5 0.5 0 3.009340312969366
68 0.5 0.5 0 2.992608180923426
69 0.5 0.5 0 2.9759883622037773
70 0.5 0.5 0 2.9594817866872414
71 0.5 0.5 0 2.9430893779146974
72 0.5 0.5 0 2.926812053039406
73 0.5 0.5 0 2.9106507227757
74 0.5 0.5 0 2.8946062913480257
75 0.5 0.5 0 2.8786796564403576
76 0.5 0.5 0 2.862871709145966
77 0.5 0.5 0 2.847183333917564
78 0.5 0.5 0 2.8316154085178256
79 0.5 0.5 0 2.8161688039702675
80 0.5 0.5 0 2.8008443845105218
81 0.5 0.5 0 2.7856430075379786
82 0.5 0.5 0 2.770565523567817
83 0.5 0.5 0 2.75561277618342
84 0.5 0.5 0 2.7407856019891677
85 0.5 0.5 0 2.7260848305636407
86 0.5 0.5 0 2.7115112844132003
87 0.5 0.5 0 2.6970657789259667
88 0.5 0.5 0 2.682749122326202
89 0.5 0.5 0 2.6685621156290873
90 0.5 0.5 0 2.6545055525959107
91 0.5 0.5 0 2.640580219689651
92 0.5 0.5 0 2.626786896030976
93 0.5 0.5 0 2.6131263533546574
94 0.5 0.5 0 2.5995993559663813
95 0.5 0.5 0 2.586206660699996
96 0.5 0.5 0 2.572949016875158
97 0.5 0.5 0 2.559827166255416
98 0.5 0.5 0 2.546841843006707
99 0.5 0.5 0 2.5339937736562703
100 0.5 0.5 0 2.521283677052015
101 0.5 0.5 0 2.5087122643222886
102 0.5 0.5 0 2.496280238836092
103 0.5 0.5 0 2.4839882961637283
104 0.5 0.5 0 2.4718371240378825
105 0.5 0.5 0 2.4598274023151476
106 0.5 0.5 0 2.447959802937982
107 0.5 0.5 0 2.436234989897115
108 0.5 0.5 0 2.4246536191944017
109 0.5 0.5 0 2.4132163388061127
110 0.5 0.5 0 2.4019237886466844
111 0.5 0.5 0 2.390776600532914
112 0.5 0.5 0 2.3797753981486105
113 0.5 0.5 0 2.368920797009701
114 0.5 0.5 0 2.3582134044297858
115 0.5 0.5 0 2.3476538194861702
116 0.5 0.5 0 2.337242632986338
117 0.5 0.5 0 2.3269804274348966
118 0.5 0.5 0 2.31686777700099
119 0.5 0.5 0 2.3069052474861698
120 0.5 0.5 0 2.297093396292743
121 0.5 0.5 0 2.2874327723925805
122 0.5 0.5 0 2.2779239162964053
123 0.5 0.5 0 2.2685673600235523
124 0.5 0.5 0 2.2593636270721977
125 0.5 0.5 0 2.2503132323900714
126 0.5 0.5 0 2.2414166823456485
127 0.5 0.5 0 2.2326744746998117
128 0.5 0.5 0 2.22408709857801
129 0.5 0.5 0 2.2156550344428836
130 0.5 0.5 0 2.2073787540673875
131 0.5 0.5 0 2.1992587205083947
132 0.5 0.5 0 2.191295388080788
133 0.5 0.5 0 2.1834892023320416
134 0.5 0.5 0 2.1758406000172905
135 0.5 0.5 0 2.1683500090748975
136 0.5 0.5 0 2.1610178486025076
137 0.5 0.5 0 2.153844528833601
138 0.5 0.5 0 2.1468304511145395
139 0.5 0.5 0 2.139976007882112
140 0.5 0.5 0 2.133281582641578
141 0.5 0.5 0 2.1267475499452084
142 0.5 0.5 0 2.120374275371333
143 0.5 0.5 0 2.1141621155038823
144 0.5 0.5 0 2.1081114179124403
145 0.5 0.5 0 2.1022225211327954
146 0.5 0.5 0 2.0964957546480005
147 0.5 0.5 0 2.0909314388699394
148 0.5 0.5 0 2.0855298851213977
149 0.5 0.5 0 2.0802913956186457
150 0.5 0.5 0 2.075216263454529
151 0.5 0.5 0 2.0703047725820714
152 0.5 0.5 0 2.065557197798583
153 0.5 0.5 0 2.0609738047302937
154 0.5 0.5 0 2.0565548498174824
155 0.5 0.5 0 2.0523005803001353
156 0.5 0.5 0 2.048211234204111
157 0.5 0.5 0 2.0442870403278226
158 0.5 0.5 0 2.040528218229436
159 0.5 0.5 0 2.036934978214587
160 0.5 0.5 0 2.0335075213246143
161 0.5 0.5 0 2.030246039325311
162 0.5 0.5 0 2.027150714696196
163 0.5 0.5 0 2.024221720620302
164 0.5 0.5 0 2.0214592209744877
165 0.5 0.5 0 2.0188633703202723
166 0.5 0.5 0 2.0164343138951804
167 0.5 0.5 0 2.0141721876046206
168 0.5 0.5 0 2.012077118014283
169 0.5 0.5 0 2.0101492223430535
170 0.5 0.5 0 2.0083886084564595
171 0.5 0.5 0 2.0067953748606318
172 0.5 0.5 0 2.0053696106967944
173 0.5 0.5 0 2.0041113957362784
174 0.5 0.5 0 2.0030208003760563
175 0.5 0.5 0 2.0020978856348046
176 0.5 0.5 0 2.00134270314949
177 0.5 0.5 0 2.0007552951724805
178 0.5 0.5 0 2.0003356945691797
179 0.5 0.5 0 2.000083924816191
180 0.5 0.5 0 2.0
181 0.5 0.5 0 2.000082245951732
182 0.5 0.5 0 2.000328974787732
183 0.5 0.5 0 2.0007401594514027
184 0.5 0.5 0 2.0013157548517126
185 0.5 0.5 0 2.002055697868139
186 0.5 0.5 0 2.0029599073575928
187 0.5 0.5 0 2.004028284163313
188 0.5 0.5 0 2.0052607111257434
189 0.5 0.5 0 2.0066570530953802
190 0.5 0.5 0 2.0082171569475897
191 0.5 0.5 0 2.0099408515994055
192 0.5 0.5 0 2.0118279480282832
193 0.5 0.5 0 2.0138782392928345
194 0.5 0.5 0 2.016091500555518
195 0.5 0.5 0 2.0184674891072936
196 0.5 0.5 0 2.0210059443942425
197 0.5 0.5 0 2.0237065880461373
198 0.5 0.5 0 2.0265691239069668
199 0.5 0.5 0 2.0295932380674175
200 0.5 0.5 0 2.0327785988992915
201 0.5 0.5 0 2.036124857091879
202 0.5 0.5 0 2.03963164569026
203 0.5 0.5 0 2.043298580135546
204 0.5 0.5 0 2.0471252583070534
205 0.5 0.5 0 2.0511112605663975
206 0.5 0.5 0 2.0552561498035127
207 0.5 0.5 0 2.0595594714845857
208 0.5 0.5 0 2.0640207537018993
209 0.5 0.5 0 2.0686395072255848
210 0.5 0.5 0 2.0734152255572695
211 0.5 0.5 0 2.078347384985621
212 0.5 0.5 0 2.0834354446437784
213 0.5 0.5 0 2.0886788465686617
214 0.5 0.5 0 2.0940770157621627
215 0.5 0.5 0 2.0996293602541973
216 0.5 0.5 0 2.1053352711676228
217 0.5 0.5 0 2.111194122785008
218 0.5 0.5 0 2.117205272617249
219 0.5 0.5 0 2.1233680614740287
220 0.5 0.5 0 2.1296818135360986
221 0.5 0.5 0 2.1361458364293973
222 0.5 0.5 0 2.142759421300971
223 0.5 0.5 0 2.1495218428967098
224 0.5 0.5 0 2.156432359640881
225 0.5 0.5 0 2.1634902137174485
